Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Ground,Sum of Fatalities (air),Sum of Aboard,Date
1908,Qtr 3,1,17,United States,Wright,Wright Flyer,virginia,Army U.S. - Military,0.0,1.0,2.0,1908-01-17
1909,Qtr 3,1,7,France,Wright,Wright Byplane,france,Unknown,0.0,1.0,1.0,1909-01-07
1912,Qtr 3,1,12,Unknown,Unknown,Dirigible,atlantic,Navy U.S. - JerseyMilitary,0.0,5.0,5.0,1912-01-12
1913,Qtr 3,1,6,United Kingdom,Curtiss,Curtiss Seaplane,victoria british,Canada          Columbia Private,0.0,1.0,1.0,1913-01-06
1913,Qtr 3,1,9,Unknown,Zeppelin,Zeppelin L 1 (Airship),over the north seamilitary - german navy,Unknown,0.0,14.0,20.0,1913-01-09
1913,Qtr 4,1,17,Unknown,Zeppelin,Zeppelin L 2 (Airship),near johannisthal germany,Navy German - Military,0.0,28.0,28.0,1913-01-17
1915,Qtr 1,1,5,Unknown,Zeppelin,Zeppelin L 8 (Airship),tienen belgium,Navy German - Military,0.0,17.0,41.0,1915-01-05
1915,Qtr 3,1,3,Unknown,Zeppelin,Zeppelin L 10 (Airship),off cuxhaven germany,Navy German - Military,0.0,19.0,19.0,1915-01-03
1916,Qtr 3,1,28,Bulgaria,Schütte-Lanz,Schutte Lanz S,near jambol bulgeria,Army German - Military,0.0,20.0,20.0,1916-01-28
1916,Qtr 3,1,24,Unknown,Zeppelin,Zeppelin L 32 (Airship),billericay england,Navy German - Military,0.0,22.0,22.0,1916-01-24
1916,Qtr 4,1,1,Unknown,Zeppelin,Zeppelin L 31 (Airship),potters bar england,Navy German - Military,0.0,19.0,19.0,1916-01-01
1916,Qtr 4,1,21,Unknown,Zeppelin,Super Zeppelin (Airship),mainz germany,Army German - Military,0.0,27.0,28.0,1916-01-21
1916,Qtr 4,1,28,Unknown,Zeppelin,Zeppelin L 34 (Airship),off west hartlepool england,Navy German - Military,0.0,20.0,20.0,1916-01-28
1917,Qtr 1,1,4,Unknown,Unknown,Airship,near gent belgium,Army German - Military,0.0,20.0,20.0,1917-01-04
1917,Qtr 1,1,30,Unknown,Schütte-Lanz,Schutte Lanz S,off northern germanymilitary - german navy,Unknown,0.0,23.0,23.0,1917-01-30
1917,Qtr 2,1,14,Unknown,Zeppelin,Zeppelin L 22 (Airship),near texel island north,Navy German - SeaMilitary,0.0,21.0,21.0,1917-01-14
1917,Qtr 2,1,14,Unknown,Zeppelin,Zeppelin L 43 (Airship),off vlieland island north,Navy German - SeaMilitary,0.0,24.0,24.0,1917-01-14
1917,Qtr 2,1,17,United Kingdom,Zeppelin,Zepplin L 48 (Air Ship)L,near yarmouth england?,Unknown,0.0,14.0,16.0,1917-01-17
1917,Qtr 3,1,21,Unknown,Zeppelin,Zeppelin L 23 (Airship),off western denmarkmilitary - german navy,Unknown,0.0,18.0,18.0,1917-01-21
1917,Qtr 4,1,20,Unknown,Zeppelin,Zeppelin L 44 (Airship),near luneville france,Navy German - Military,0.0,18.0,18.0,1917-01-20
1918,Qtr 2,1,7,Unknown,Zeppelin,Zeppelin L 59 (Airship),over the mediterraneanmilitary - german navy,Unknown,0.0,23.0,23.0,1918-01-07
1918,Qtr 3,1,5,Unknown,Zeppelin,Zeppelin L 70 (Airship),off helgoland island germany,Navy German - Military,0.0,22.0,22.0,1918-01-05
1918,Qtr 3,1,11,Unknown,Zeppelin,Zeppelin L 53 (Airship),ameland island north,Navy German - SeaMilitary,0.0,19.0,19.0,1918-01-11
1918,Qtr 4,1,16,Unknown,De Havilland,De Havilland Dh 497,elizabeth new,Service Mail Aerial JerseyUS,0.0,1.0,1.0,1918-01-16
1919,Qtr 2,1,25,United States,De Havilland,De Havilland Dh 461,cleveland ohio,Service Mail Aerial US,0.0,1.0,1.0,1919-01-25
1919,Qtr 3,1,19,United States,De Havilland,De Havilland Dh 482,dix run pennsylvania,Service Mail Aerial US,0.0,1.0,1.0,1919-01-19
1919,Qtr 3,1,21,United States,Fd Type,Fd Type Dirigible,chicago illinois,Tire Goodyear Express Air Wingfoot,10.0,3.0,0.0,1919-01-21
1919,Qtr 3,1,2,Unknown,Caproni,Caproni Ca.48,verona italy,Company Caproni,0.0,14.0,14.0,1919-01-02
1919,Qtr 4,1,2,Unknown,De Havilland,De Havilland Dh 4,newcastle england,Travel and Transport Aircraft,0.0,1.0,1.0,1919-01-02
1919,Qtr 4,1,14,United States,Curtiss,Curtiss R 4Lm32,cantonsville maryland,Service Mail Aerial US,0.0,1.0,1.0,1919-01-14
1919,Qtr 4,1,20,United States,De Havilland,De Havilland Dh 4G,english channel off forkstone kent,Travel and Transport Aircraft,0.0,0.0,0.0,1919-01-20
1919,Qtr 4,1,30,Unknown,De Havilland,De Havilland Dh.477,long valley new,Service Mail Aerial JerseyUS,0.0,1.0,1.0,1919-01-30
1919,Qtr 4,1,11,United Kingdom,De Havilland,De Havilland Dh 4G,catherham surrey,UKAircraft Travel Transport,0.0,1.0,1.0,1919-01-11
1920,Qtr 1,1,10,India,De Havilland,De Havilland Dh 465,new paris indiana,Service Mail Aerial US,0.0,1.0,1.0,1920-01-10
1920,Qtr 1,1,30,Unknown,De Havilland,De Havilland Dh 472,newark new,Service Mail Aerial JerseyUS,0.0,1.0,1.0,1920-01-30
1920,Qtr 2,1,10,Unknown,Curtiss,Curtiss R 4Lm49,newark new,Service Mail Aerial JerseyUS,0.0,1.0,2.0,1920-01-10
1920,Qtr 2,1,11,Unknown,Curtiss,Curtiss Jn 4H44,heller field new,Service Mail Aerial JerseyUS,0.0,1.0,2.0,1920-01-11
1920,Qtr 2,1,12,United States,De Havilland,De Havilland Dh 479,oskaloosa iowa,Service Mail Aerial US,0.0,1.0,2.0,1920-01-12
1920,Qtr 2,1,6,United States,De Havilland,De Havilland Dh 4204,cleveland ohio,Service Mail Aerial US,0.0,1.0,1.0,1920-01-06
1920,Qtr 3,1,20,United States,Farman,Farman F 40,cartagena columbia,Aérea Navegación de Colombiana Compañia,0.0,1.0,1.0,1920-01-20
1920,Qtr 3,1,16,Unknown,Armstrong Whitworth,Armstrong Whitworth F,bedford england,Air By,0.0,1.0,1.0,1920-01-16
1920,Qtr 3,1,16,United States,De Havilland,De Havilland Dh 4317,college park maryland,Service Mail Aerial US,0.0,1.0,1.0,1920-01-16
1920,Qtr 3,1,1,Unknown,Junkers,Junkers Jl 6305,morristown new,Service Mail Aerial JerseyUS,0.0,2.0,2.0,1920-01-01
1920,Qtr 3,1,15,United States,Junkers,Junkers F 13308,pemberville ohio,Service Mail Aerial US,0.0,2.0,2.0,1920-01-15
1920,Qtr 3,1,27,United States,De Havilland,De Havilland Dh 4316,hillersburg pennsylvania,Service Mail Aerial US,0.0,1.0,1.0,1920-01-27
1920,Qtr 4,1,2,Unknown,Salmson,Salmson 2 A,off port vendres france,Airlines Latecoere,0.0,2.0,2.0,1920-01-02
1920,Qtr 4,1,5,Spain,Breguet,Breguet 14F Alta,valencia spain,Airlines Latecoere,0.0,2.0,2.0,1920-01-05
1920,Qtr 4,1,15,United States,De Havilland,De Havilland Dh 476,batavia illinois,Service Mail Aerial US,0.0,1.0,1.0,1920-01-15
1920,Qtr 4,1,7,United States,De Havilland,De Havilland Dh 4,tie siding wyoming,Service Mail Aerial US,0.0,1.0,1.0,1920-01-07
1920,Qtr 4,1,14,Unknown,Handley Page,Handley Page Hp 16G,london england,Transport Page Handley,0.0,4.0,8.0,1920-01-14
1920,Qtr 4,1,24,Spain,Breguet,Breguet 14F Albo,barcelona spain,Aeropostale,0.0,1.0,1.0,1920-01-24
1921,Qtr 1,1,3,United States,De Havilland,De Havilland Dh 4130,mendotta minnisota,Service Mail Aerial US,0.0,1.0,1.0,1921-01-03
1921,Qtr 1,1,9,United States,Junkers,Junkers F 13301,la crosse wisconsin,Service Mail Aerial US,0.0,3.0,3.0,1921-01-09
1921,Qtr 1,1,15,Unknown,Breguet,Breguet 14F Alba,off gibraltaraeropostale,Unknown,0.0,2.0,2.0,1921-01-15
1921,Qtr 1,1,22,United States,De Havilland,De Havilland Dh 467,elko nevada,Service Mail Aerial US,0.0,1.0,1.0,1921-01-22
1921,Qtr 2,1,6,Unknown,Avro,Avro 504H3021,point cook australia,Force Air Australian Royal - Military,0.0,2.0,2.0,1921-01-06
1921,Qtr 2,1,21,Unknown,De Havilland,De Havilland Dh 4160,mitchel field nyus,Service Mail Aerial,0.0,1.0,1.0,1921-01-21
1921,Qtr 2,1,29,United States,De Havilland,De Havilland Dh 4196,cleveland ohio,Service Mail Aerial US,0.0,1.0,1.0,1921-01-29
1921,Qtr 2,1,17,United States,De Havilland,De Havilland Dh 4 De Havilland Dh,rock springs wyoming,Service Mail Aerial US,0.0,1.0,1.0,1921-01-17
1921,Qtr 3,1,14,Unknown,Breguet,Breguet 14F Albi,toulouse france,Aeropostale,0.0,2.0,2.0,1921-01-14
1921,Qtr 3,1,24,Unknown,Royal Airship Works,Royal Airship Works Zr 2 (Airship)R,river humber england,Works Airship Royal - Military,1.0,43.0,49.0,1921-01-24
1921,Qtr 3,1,6,Unknown,Potez,Potez Ixf Adcd,paris france,Franco-Roumaine,0.0,5.0,5.0,1921-01-06
1921,Qtr 4,1,5,Unknown,Bristol,Bristol 28 Tourerg Audi,near murchinson river australia,Airways Australian West,0.0,2.0,2.0,1921-01-05
1922,Qtr 1,1,14,Unknown,Handley Page,Handley Page O/10G Eatn,paris france,Transport Page Handley,5.0,5.0,5.0,1922-01-14
1922,Qtr 1,1,21,United States,Dirigible Roma,Dirigible Roma (Airship),near norfolk virginia,Service Air Army U.S. - Military,0.0,34.0,45.0,1922-01-21
1922,Qtr 1,1,22,Unknown,Aeromarine,Aeromarine Model 85 (Flying Boat),north atlantic oceanaero limited,Unknown,0.0,5.0,6.0,1922-01-22
1922,Qtr 2,1,7,Unknown,De Havilland,De Havilland Dh 18 / Farman F,grandvilliers france,Aeriens Express Grands / Airways Daimler,0.0,7.0,7.0,1922-01-07
1922,Qtr 2,1,8,China,Uknown,,pao ting fou china?,Unknown,0.0,17.0,17.0,1922-01-08
1922,Qtr 2,1,3,United States,Blériot,Bleriot Spad 27F Acmh,off folkestone kent,England Cie des Messageries Aeriennes,0.0,3.0,3.0,1922-01-03
1922,Qtr 3,1,4,Germany,LVG C,Lvg C Vi,fuhlsbuttel germany?,Unknown,0.0,2.0,3.0,1922-01-04
1922,Qtr 3,1,16,France,Potez,Potez 29F Frei,near saverne lorraine,France Compagnie Franco-Roumaine de Navigaation Aerienne,0.0,5.0,5.0,1922-01-16
1922,Qtr 3,1,26,Spain,Breguet,Breguet 14F Alve,cadix spain,Aeriens Express Grands,0.0,3.0,3.0,1922-01-26
1922,Qtr 3,1,7,India,De Havilland,De Havilland Dh 4227,indianapolis indiana,Service Mail Aerial US,0.0,1.0,1.0,1922-01-07
1922,Qtr 4,1,2,Italy,De Havilland,De Havilland Dh 9G,venice italyde,Service Air Havilland,0.0,4.0,4.0,1922-01-02
1922,Qtr 4,1,25,Unknown,Breguet,Breguet 14,larache morocco,Aeriens Express Grands,0.0,2.0,2.0,1922-01-25
1922,Qtr 4,1,3,Unknown,Breguet,Breguet 14F Alna,fez morocco,Aeriens Express Grands,0.0,1.0,1.0,1922-01-03
1923,Qtr 1,1,10,Unknown,Liore,Lioré Et,ajaccio france,l'Air de Amee,0.0,3.0,4.0,1923-01-10
1923,Qtr 1,1,17,Spain,Breguet,Breguet 14F Alju,barcelona spain,Aeriens Express Grands,0.0,1.0,1.0,1923-01-17
1923,Qtr 1,1,18,United States,De Havilland,De Havilland Dh 4223,cheyenne wyoming,Service Mail Aerial US,0.0,1.0,1.0,1923-01-18
1923,Qtr 1,1,26,United States,De Havilland,De Havilland Dh 4291,meadville pennsylvania,Service Mail Aerial US,0.0,1.0,1.0,1923-01-26
1923,Qtr 2,1,14,France,Farman,Farman F 60 Goliathf,near amiens picrdie,France Grands Express Aeriens (Air Union),0.0,6.0,6.0,1923-01-14
1923,Qtr 3,1,27,Unknown,Blériot,Blériot Spad 46F Aegn,bucharest romania,Roumaine France Campagnie,0.0,2.0,2.0,1923-01-27
1923,Qtr 3,1,27,Unknown,Farman,Farman F.60 Goliathf Aecb,east mallling united,Union KingdomAir,0.0,1.0,11.0,1923-01-27
1923,Qtr 3,1,7,United States,De Havilland,De Havilland Dh 4283,colton ohio,Service Mail Aerial US,0.0,1.0,1.0,1923-01-07
1923,Qtr 3,1,14,United Kingdom,De Havilland,De Havilland Dh 34G,near ivinghoe buckinghamshire,England Daimler Airways,0.0,5.0,5.0,1923-01-14
1923,Qtr 4,1,18,Unknown,Junkers,Junkers F 13D,russiacccp,Unknown,0.0,3.0,5.0,1923-01-18
1923,Qtr 4,1,6,United States,De Havilland,De Havilland Dh 4318,castalia ohio,Service Mail Aerial US,0.0,1.0,1.0,1923-01-06
1923,Qtr 4,1,23,Unknown,Zeppelin,Zeppelin Dixmunde (Airship)L 72,over the mediterranean seamilitary - french navy,Unknown,0.0,52.0,52.0,1923-01-23
1923,Qtr 4,1,24,Unknown,De Havilland,De Havilland Dh 4315,egbert wyus,Service Mail Aerial,0.0,1.0,1.0,1923-01-24
1924,Qtr 1,1,7,United States,De Havilland,De Havilland Dh 4327,grampian pennsylvania,Service Mail Aerial US,0.0,1.0,1.0,1924-01-07
1924,Qtr 2,1,24,Unknown,Fokker,Fokker F.Iiih Nabs,over the english channelklm royal dutch airlines,Unknown,0.0,3.0,3.0,1924-01-24
1924,Qtr 2,1,8,Unknown,Junkers,Junkers F 13A16,barranquilla colombia,SCADTA,0.0,5.0,5.0,1924-01-08
1924,Qtr 3,1,1,Unknown,De Havilland,De Havilland Dh 4297,united statesus aerial mail service,Unknown,0.0,1.0,1.0,1924-01-01
1924,Qtr 4,1,6,Unknown,Breguet,Breguet 14F Afbd,cabrerolles france,Aeriens Express Grands,0.0,1.0,1.0,1924-01-06
1924,Qtr 4,1,21,India,De Havilland,De Havilland Dh 4311,goshen indiana,Service Mail Aerial US,0.0,1.0,1.0,1924-01-21
1924,Qtr 4,1,24,Unknown,De Havilland,De Havilland Dh 34Bg,purley england,Airways Imperial,0.0,8.0,8.0,1924-01-24
1925,Qtr 1,1,22,Unknown,Junkers,Junkers F 13R,near tiflis georgia,USSRZakavia,0.0,5.0,5.0,1925-01-22
1925,Qtr 2,1,25,Spain,Breguet,Breguet 14F Afbb,alicante spain,Aeriens Express Grands,0.0,3.0,3.0,1925-01-25
1925,Qtr 2,1,25,Unknown,Fokker,Fokker (Klm) F.Iiih Nabm,landrécies france,Airlines Dutch Royal KLM,0.0,4.0,4.0,1925-01-25
1925,Qtr 2,1,26,Spain,Liore,Lioré Et,alicante spain,Aeriens Express Grands,0.0,2.0,2.0,1925-01-26
1925,Qtr 3,1,20,Spain,Breguet,Breguet 14F Afbi,rosas spain,Latecoere Aeriennes Lignes,0.0,1.0,1.0,1925-01-20
1925,Qtr 3,1,24,Unknown,Potez,Potez Ix,budapest hungary,CIDNA,0.0,1.0,1.0,1925-01-24
1925,Qtr 3,1,3,United States,Dirigible,Dirigible Zr 1 Shenandoah (Airship)Zr,caldwell ohio,Navy U.S. - Military,0.0,14.0,43.0,1925-01-03
1925,Qtr 3,1,7,Unknown,SPAD,Spad 33,toul france,CIDNA,0.0,0.0,0.0,1925-01-07
1925,Qtr 4,1,1,United States,De Havilland,De Havilland Dh 4385,mt. nittany ohio,Service Mail Aerial US,0.0,1.0,1.0,1925-01-01
1925,Qtr 4,1,14,Unknown,Farman,Farman F 60 Goliathf,off boulogne-sur-mer france,Union Air,0.0,2.0,2.0,1925-01-14
1925,Qtr 4,1,14,Unknown,Breguet,Breguet 14F Aegz,nouadhibou mauritania,Latecoere Aeriennes Lignes,0.0,1.0,1.0,1925-01-14
1926,Qtr 1,1,12,United States,Curtiss,Curtiss Carrier Pigeon602,montpelier ohio,Service Mail Aerial US,0.0,1.0,1.0,1926-01-12
1926,Qtr 1,1,8,Unknown,Junkers,Junkers F 13D,staaken germany,Lufthansa Deutche,0.0,1.0,1.0,1926-01-08
1926,Qtr 2,1,31,Unknown,Breguet,Breguet 14F Adai,english channelair union,Unknown,0.0,1.0,1.0,1926-01-31
1926,Qtr 3,1,3,Unknown,Caudron,Caudron C 61F,rossaugpt czechoslovakia,Aérienne Navigation de Internationale Compagnie,0.0,6.0,6.0,1926-01-03
1926,Qtr 3,1,9,Unknown,Fokker,Fokker F7H Nacc,wolvertem belgium,Airlines Dutch Royal KLM,0.0,2.0,2.0,1926-01-09
1926,Qtr 3,1,24,Unknown,Junkers,Junkers F 13D,juist germany,Lufthansa Deutsche,0.0,5.0,5.0,1926-01-24
1926,Qtr 3,1,18,United States,Blériot,Bleriot 155F Aieb,hurst kent,England Air Union,0.0,3.0,15.0,1926-01-18
1926,Qtr 3,1,26,Unknown,Sikorsky,Sikorsky S 25,new york new,York,0.0,2.0,5.0,1926-01-26
1926,Qtr 4,1,2,United States,Blériot,Bleriot 155F Aicq,leigh kent,Unied Kingdom Air Union,0.0,7.0,7.0,1926-01-02
1926,Qtr 4,1,8,Unknown,Fokker Fg,Fokker Fg Iiid 468,bueren germany,Lufthansa Deutsche,0.0,4.0,4.0,1926-01-08
1926,Qtr 4,1,21,Unknown,Handley Page,Handley Page W 10G,english channelimperial airways,Unknown,0.0,0.0,12.0,1926-01-21
1926,Qtr 4,1,11,Unknown,Breguet,Breguet 14F Afax,cape bojador morocco,Aeriens Express Grands,0.0,3.0,3.0,1926-01-11
1926,Qtr 4,1,16,United States,Ryan Aeronautical,Ryan M 12,medford oregon,Transport Air Pacific,0.0,1.0,1.0,1926-01-16
1927,Qtr 1,1,12,Unknown,Fokker,Fokker F Viig,estaires france,Fokker,0.0,0.0,0.0,1927-01-12
1927,Qtr 1,1,20,Unknown,Breguet,Breguet 14F Alra,rabat morocco,Aeriens Express Grands,0.0,1.0,1.0,1927-01-20
1927,Qtr 1,1,24,Australia,De Havilland,De Havilland Dh 9Cg,tambo qld,Australia Qantas,0.0,3.0,3.0,1927-01-24
1927,Qtr 2,1,15,United States,Swallow Swallow?,Swallow Swallow,king hill idaho,Lines Air Varney,0.0,1.0,1.0,1927-01-15
1927,Qtr 2,1,22,Unknown,Fokker Fg,Fokker Fg Iiid 729,floh germany,Lufthansa Deutsche,0.0,2.0,2.0,1927-01-22
1927,Qtr 2,1,22,India,Douglas,Douglas M 4626,goshen indiana,Service Mail Aerial US,0.0,1.0,1.0,1927-01-22
1927,Qtr 2,1,2,Unknown,Spca Meteore,Spca Meteore 63F Aifn,algiers algeria,Union Air,0.0,1.0,3.0,1927-01-02
1927,Qtr 3,1,27,Unknown,Junkers,Junkers F 13D,amoneburg germany,Lufthansa Deutsche,0.0,5.0,5.0,1927-01-27
1927,Qtr 3,1,22,Unknown,Fokker,Fokker F Viiih,sevenoaks england,Airlines Dutch Royal KLM,0.0,1.0,11.0,1927-01-22
1927,Qtr 3,1,3,United States,Fokker Universalnc52,Fokker Universalnc52 Nc52,willington connecticut,Transport Air Colonial,0.0,1.0,1.0,1927-01-03
1927,Qtr 3,1,17,Unknown,Fokker,Fokker F7Nx703,atlantic oceanprivate,Unknown,0.0,3.0,3.0,1927-01-17
1927,Qtr 3,1,17,Unknown,Fokker,Fokker F Viinc776,hadley new,Airways JerseyReynolds,0.0,7.0,12.0,1927-01-17
1927,Qtr 3,1,23,Unknown,Dornier,Dornier Merkurd 585,schleiz germany,Lufthansa Deutsche,0.0,6.0,6.0,1927-01-23
1927,Qtr 4,1,6,Unknown,Breguet,Breguet 14F Agbn,thies mauritania,Latecoere Aeriennes Lignes,0.0,2.0,2.0,1927-01-06
1927,Qtr 4,1,30,Unknown,Fairchild,Fairchild Fc 2,new brunswick new,Transport Air JerseyColonial,0.0,4.0,4.0,1927-01-30
1927,Qtr 4,1,8,Unknown,Farman,Farman F 121 Jabiruf,strasburg france,CIDNA,0.0,1.0,1.0,1927-01-08
1927,Qtr 4,1,16,Unknown,Junkers,Junkers F 13K,over the gulf of finlandaero o-y,Unknown,0.0,6.0,6.0,1927-01-16
1927,Qtr 4,1,29,India,Douglas,Douglas M 4Nc62 Nc1062,corunna indiana,Transport Air National,0.0,1.0,1.0,1927-01-29
1927,Qtr 4,1,28,Spain,Breguet,Breguet 14F Afgs,almeria spain,Aeropostale,0.0,1.0,1.0,1927-01-28
1927,Qtr 4,1,31,Unknown,Latécoère,Latécoère 23 (Flying Boat)F Aihp,near marseille airlines,Unknown,0.0,5.0,5.0,1927-01-31
1928,Qtr 1,1,8,Unknown,Fairchild,Fairchild Fc 2Nc3780,near canajoharie new,Airlines Western YorkColonial,0.0,3.0,3.0,1928-01-08
1928,Qtr 1,1,16,Unknown,Latécoère,Latecoere 25F Aikg,solis uruguay,Aeropostale,0.0,2.0,2.0,1928-01-16
1928,Qtr 1,1,22,France,Breguet,Breguet 14 F Aheq,l'hospitalet ariège,Aeropostale,0.0,1.0,1.0,1928-01-22
1928,Qtr 1,1,22,Spain,Breguet,Breguet 14F Aheq,tarragona spain,Aeropostale,0.0,2.0,2.0,1928-01-22
1928,Qtr 1,1,27,Spain,Breguet,Breguet 14F Afhn,almeria spain,Aeropostale,0.0,1.0,1.0,1928-01-27
1928,Qtr 1,1,26,United States,Boeing,Boeing 40Nc280,marquette nebraska,Transport Air Boeing,0.0,1.0,2.0,1928-01-26
1928,Qtr 1,1,11,Unknown,Farman,Farman F 60 Goliathf,off cape griz nez france,Union Air,0.0,2.0,2.0,1928-01-11
1928,Qtr 2,1,17,United States,Boeing,Boeing 40Nc282 Nc282,federal wyoming,Transport Air Boeing,0.0,1.0,2.0,1928-01-17
1928,Qtr 2,1,19,Spain,Rohrbach,Rohrbach Rolandm Cccc,minuesa spain,Airlines Iberia,0.0,9.0,9.0,1928-01-19
1928,Qtr 2,1,7,Brazil,Latécoère,Latecoere 26F Aimq,"florianopolis brazil
florianopolis",BrazilFlorianopolis,0.0,1.0,5.0,1928-01-07
1928,Qtr 2,1,12,United States,Ford,Ford 4Nc1492,dearborn minnesota,Inc. Freight Air Ford,0.0,2.0,2.0,1928-01-12
1928,Qtr 2,1,26,Unknown,Junkers,Junkers F 13D,radevormwald germany,Lufthansa Deutsche,0.0,3.0,5.0,1928-01-26
1928,Qtr 2,1,14,Unknown,Unknown,Aegkd 74,frankfurt germany,Lufthansa Deutsche,0.0,5.0,5.0,1928-01-14
1928,Qtr 2,1,22,United States,Douglas,Douglas M 4Nc1059,lebo kansas,Transport Air National,0.0,1.0,1.0,1928-01-22
1928,Qtr 3,1,10,Unknown,Junkers,Junkers F 13K,over the gulf of finlandaero o-y,Unknown,0.0,6.0,6.0,1928-01-10
1928,Qtr 3,1,13,Unknown,Vickers Viscount,Vickers 74 Vulcang Eblb,purley england,Airways Imperial,0.0,4.0,6.0,1928-01-13
1928,Qtr 3,1,24,Unknown,Fokker,Fokker (Klm) F.Iiih Nabr,waalhaven netherlands,Airlines Dutch Royal KLM,0.0,1.0,6.0,1928-01-24
1928,Qtr 3,1,25,Unknown,Ford,Ford 4 At,near port townsend bc,Canada British Columbia Airways,0.0,7.0,7.0,1928-01-25
1928,Qtr 3,1,2,Unknown,Blériot,Bleriot Spad 33F Aiep,toul france,CIDNA,0.0,5.0,5.0,1928-01-02
1928,Qtr 3,1,4,Unknown,De Havilland,De Havilland Dh.50Jg Auhi,adelaide hills australia,Qantas,0.0,1.0,2.0,1928-01-04
1928,Qtr 3,1,4,United States,Fokker,Fokker Super Universalnc7242,pocatello idaho,Airways Parks National,0.0,7.0,7.0,1928-01-04
1928,Qtr 3,1,6,Unknown,Fokker Fg,Fokker Fg Iiid 180,heroldbach germany,Lufthansa Deutsche,0.0,3.0,3.0,1928-01-06
1928,Qtr 4,1,4,Spain,Breguet,Breguet 14F Aeej F,gerona spain,Aeropostale,0.0,3.0,3.0,1928-01-04
1928,Qtr 4,1,18,United States,Douglas,Douglas M 4Nc1064,polk pennsylvania,Transport Air National,0.0,1.0,1.0,1928-01-18
1928,Qtr 4,1,31,Unknown,Blériot,Bleriot Spad 56F Aimn,valence france,Union Air,0.0,1.0,2.0,1928-01-31
1928,Qtr 4,1,15,Unknown,Latécoère,Latecoere 32F Aisn,off gibraltaraeropostale,Unknown,0.0,1.0,3.0,1928-01-15
1928,Qtr 4,1,24,United States,Hamilton,Hamilton H 47Nc7521,edgerton ohio,Airlines Universal,0.0,3.0,3.0,1928-01-24
1928,Qtr 4,1,25,United States,Douglas,Douglas M 4Nc792,bristolville ohio,Transport Air National,0.0,1.0,1.0,1928-01-25
1928,Qtr 4,1,25,United States,Travel Air,Travel Air 4000Nc5436,edgerton ohio,Lines Air Continental,0.0,1.0,1.0,1928-01-25
1928,Qtr 4,1,1,United States,Ford,Ford 4 At,spur texas,Co. Transport Air Sunbeam,0.0,5.0,5.0,1928-01-01
1928,Qtr 4,1,3,Unknown,Dornier,Dornier Walp Baca,near rio de janeiro condor,Unknown,0.0,14.0,14.0,1928-01-03
1928,Qtr 4,1,10,United States,Ford,Ford Tri Motor 4Nc7687,spokan washington,Airways Spokane,0.0,5.0,5.0,1928-01-10
1928,Qtr 4,1,11,Unknown,Junkers,Junkers G 31D,letzlingen germany,Lufthansa Deutsche,0.0,3.0,4.0,1928-01-11
1928,Qtr 4,1,20,United States,Douglas,Douglas M 4Nc790,huron ohio,Transport Air National,0.0,1.0,1.0,1928-01-20
1928,Qtr 4,1,23,United States,Fairchild,Fairchild Fc 2,chattanooga tennessee,Airlines Interstate,0.0,4.0,4.0,1928-01-23
1928,Qtr 4,1,31,Unknown,Blériot,Blériot Spad 66F Aehx,reims france,CIDNA,0.0,2.0,3.0,1928-01-31
1929,Qtr 1,1,5,United States,Fairchild,Fairchild Fc 2Nc5650,stafford springs connecticut,Transport Air Colonial,0.0,1.0,1.0,1929-01-05
1929,Qtr 1,1,18,United States,Boeing-Stearman,Stearman C 38Nc1682,cove oregon,Lines Air Varney,0.0,1.0,1.0,1929-01-18
1929,Qtr 1,1,25,Unknown,Cmasa,Cmasa Wali Azda,near corfu greece,Aeroespresso,0.0,2.0,9.0,1929-01-25
1929,Qtr 1,1,31,Unknown,Latécoère,Latecoere 26F Aimu F,off moroccoaeropostale,Unknown,0.0,2.0,2.0,1929-01-31
1929,Qtr 1,1,31,Unknown,Travel Air,Travel Air 4000Nc6480,morgantown west,Company Transportation VirginiaSkyline,0.0,1.0,1.0,1929-01-31
1929,Qtr 1,1,17,Unknown,Ford,Ford 5 At,newark new,Airlines Western JerseyColonial,0.0,14.0,15.0,1929-01-17
1929,Qtr 1,1,30,United States,Fokker,Fokker F Viianc7888,near beaumont california,Airlines Standard New,0.0,4.0,4.0,1929-01-30
1929,Qtr 2,1,21,United States,Ford,Ford 5 At,san diego california,Force Air U.S.Army - Military / Airlines Maddux,0.0,6.0,6.0,1929-01-21
1929,Qtr 2,1,9,Unknown,Ford,Ford Tri Motor 4M,tampico mexico,Mexicana,0.0,5.0,5.0,1929-01-09
1929,Qtr 2,1,18,Unknown,Fokker,Fokker F Iiih,tököl,HungaryMALERT Pest,0.0,2.0,2.0,1929-01-18
1929,Qtr 2,1,22,Unknown,Cams,Cams 53F Aisx,algiersaeropostale,Unknown,0.0,4.0,6.0,1929-01-22
1929,Qtr 2,1,13,Unknown,Fokker,Fokker F Xnc9700,santiago de cuba cuba,Airways American Pan,0.0,2.0,5.0,1929-01-13
1929,Qtr 2,1,14,Spain,Breguet,Breguet 14F Afej,barcelona spain,Aeropostale,0.0,1.0,2.0,1929-01-14
1929,Qtr 2,1,17,Unknown,Handley Page,Handley Page W 10G,off dungeness england,Airways Imperial,0.0,7.0,13.0,1929-01-17
