Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Ground,Sum of Fatalities (air),Sum of Aboard,Date
1998,Qtr 1,1,16,Unknown,Airbus,Airbus A300 622Rb,taipei taiwan,(Taiwan) Airlines China,7.0,196.0,196.0,1998-01-16
1998,Qtr 1,1,10,Unknown,Boeing,Boeing 707 336Csu,mombasa kenya,Memphis Air,0.0,6.0,6.0,1998-01-10
1998,Qtr 1,1,18,Unknown,Saab340Bb,Saab340Bb 12255,off hsinchu taiwan,Airlines Formosa,0.0,13.0,13.0,1998-01-18
1998,Qtr 1,1,19,Unknown,Boeing,Boeing B 727,near charasyab afghanistan,Airlines Afghan Ariana,0.0,45.0,45.0,1998-01-19
1998,Qtr 1,1,22,Unknown,Airbus,Airbus A.320 214Rp,bacolod philippines,Lines Air Philippine,3.0,0.0,127.0,1998-01-22
1998,Qtr 1,1,28,Unknown,Antonov,Antonov An 32Ob,piura peru,Peru del Aérea Fuerza,1.0,22.0,55.0,1998-01-28
1998,Qtr 1,1,31,Unknown,Convair,Convair Cv 240,near mexico city mexico,Carga de Mexicana Aérea Linea,0.0,2.0,4.0,1998-01-31
1998,Qtr 2,1,20,Unknown,Boeing,Boeing B 727,near bogota colombia,France Air,0.0,53.0,53.0,1998-01-20
1998,Qtr 2,1,5,Unknown,Boeing,Boeing B 737,andoas peru,Peru del Aérea Fuerza,0.0,75.0,88.0,1998-01-05
1998,Qtr 2,1,12,Unknown,Xian Yunshuji,Xian Yunshuji Y 7,near nema mauritania,Force Air Mauritanian - Military,0.0,39.0,42.0,1998-01-12
1998,Qtr 2,1,25,Unknown,Yakovlev,Yakovlev Yak 4034001,near longtiang laos,Force Air Army Liberation People's Lao - Military,0.0,26.0,26.0,1998-01-25
1998,Qtr 2,1,25,Unknown,Bell,Bell 206L 3N96Cw,indian trail north,Inc. Helicopters US - Taxi CarolinaAir,0.0,5.0,5.0,1998-01-25
1998,Qtr 2,1,26,Unknown,Harbin Yunshuji,Harbin Yunshuji Y 12 Iiju,near erdenet mongolia,Airlines Mongolian - MIAT,0.0,28.0,28.0,1998-01-26
1998,Qtr 2,1,18,Unknown,Swearingen,Swearingen Sa 226Tc Metroliner Iic,montreal canada,Propair,0.0,11.0,11.0,1998-01-18
1998,Qtr 2,1,25,United States,Eurocopter,Eurocopter As 350,mt. waialeale hawaii,Tours Helicopter Ohana - Taxi Air,0.0,6.0,6.0,1998-01-25
1998,Qtr 3,1,13,Unknown,Ilyushin,Ilyushin 76Mdur 76424,off rasal united,Aircompany EmiratesATI Arab,0.0,8.0,8.0,1998-01-13
1998,Qtr 3,1,16,Unknown,Rockwell,Rockwell Sabreliner 60Lv Wpo,córdoba argentina,Sur del Alas,0.0,3.0,3.0,1998-01-16
1998,Qtr 3,1,17,Unknown,Ilyushin,Ilyushin Ii 76Ur,asmara eritrea,Company Transport Aviation Ukraine,0.0,10.0,10.0,1998-01-17
1998,Qtr 3,1,23,Unknown,Short Brothers,Shorts Sc 7 Skyvan 3,pico de orizaba mexico,Force Air Mexican - Military,0.0,4.0,4.0,1998-01-23
1998,Qtr 3,1,27,Unknown,Consolidated,Consolidated Pby 5A Catalinavp,southhampton england,Sailing Plane,0.0,4.0,18.0,1998-01-27
1998,Qtr 3,1,28,Spain,Swearingen Sa.227Ac Metro,Swearingen Sa.227Ac Metro Iiiec Fxd,barcelona spain,Swifair,0.0,2.0,2.0,1998-01-28
